City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
153,Likasi,-10.9814,26.7333,62.92,97,100,1.12,CD,2021-01-09 03:19:36
154,Nemuro,43.3236,145.575,19.4,58,20,11.5,JP,2021-01-09 03:19:36
155,Sechura,-5.5569,-80.8222,71.87,78,3,11.63,PE,2021-01-09 03:19:36
156,Iracoubo,5.4802,-53.2011,77.29,84,100,10.36,GF,2021-01-09 03:19:36
157,Kapit,2.0167,112.9333,84.67,80,61,1.25,MY,2021-01-09 03:19:37
158,Faanui,-16.4833,-151.75,81.25,68,9,6.53,PF,2021-01-09 03:19:37
159,Skuodas,56.2667,21.5333,30.2,93,90,6.91,LT,2021-01-09 03:19:37
160,Arenapolis,-14.4503,-56.8461,77.29,71,67,2.3,BR,2021-01-09 03:19:38
161,Sao Filipe,14.8961,-24.4956,73.76,77,81,10.56,CV,2021-01-09 03:19:38
162,Saint-Philippe,-21.3585,55.7679,78.8,57,0,3.44,RE,2021-01-09 03:17:32
163,Aklavik,68.2191,-135.0107,10.4,85,98,4.61,CA,2021-01-09 03:19:38
164,Gushikawa,26.3544,127.8686,51.8,54,90,17.27,JP,2021-01-09 03:19:38
165,Margate,51.3813,1.3862,37.99,90,73,1.99,GB,2021-01-09 03:15:09
166,Camargo,27.6667,-105.1667,58.66,29,0,8.46,MX,2021-01-09 03:19:39
167,Ribeira Grande,38.5167,-28.7,50.0,71,20,8.05,PT,2021-01-09 03:19:39
168,Kalmunai,7.4167,81.8167,78.26,85,100,6.62,LK,2021-01-09 03:19:39
169,Cosala,24.4125,-106.6908,62.01,97,0,2.24,MX,2021-01-09 03:19:39
170,Karratha,-20.7377,116.8463,97.65,32,71,5.14,AU,2021-01-09 03:19:40
171,Arinos,-15.9169,-46.1056,72.36,87,47,1.77,BR,2021-01-09 03:19:40
172,Ostrovnoy,68.0531,39.5131,12.99,95,100,3.22,RU,2021-01-09 03:19:40
173,Neyveli,11.536,79.4824,77.14,86,24,10.33,IN,2021-01-09 03:19:40
174,Iqaluit,63.7506,-68.5145,3.2,66,75,8.05,CA,2021-01-09 03:19:40
175,Georgetown,5.4112,100.3354,84.99,65,20,5.75,MY,2021-01-09 03:18:17
176,Kaka,37.3482,59.6143,32.11,80,0,7.76,TM,2021-01-09 03:19:41
177,Otane,-39.8833,176.6333,73.0,63,89,1.01,NZ,2021-01-09 03:19:41
178,Roma,43.2128,-75.4557,15.01,85,1,3.44,US,2021-01-09 03:19:41
179,Aquiraz,-3.9014,-38.3911,80.6,78,0,12.66,BR,2021-01-09 03:19:41
180,Vestmannaeyjar,63.4427,-20.2734,21.92,89,4,28.9,IS,2021-01-09 03:19:41
181,Monte Alegre,-2.0078,-54.0692,75.81,90,100,2.3,BR,2021-01-09 03:19:42
182,Hami,42.8,93.45,15.08,67,100,2.17,CN,2021-01-09 03:19:42
183,Henties Bay,-22.116,14.2845,66.99,87,100,6.89,NA,2021-01-09 03:19:42
184,Djibo,14.1022,-1.6306,73.4,18,6,7.78,BF,2021-01-09 03:19:43
185,Millinocket,45.6573,-68.7098,21.2,79,90,5.75,US,2021-01-09 03:19:43
186,Hovd,48.0056,91.6419,-8.36,81,100,0.27,MN,2021-01-09 03:19:43
187,Novobelokatay,55.7062,58.9549,16.68,95,100,2.19,RU,2021-01-09 03:19:43
188,Ghorawal,24.7667,82.7833,69.46,53,37,2.37,IN,2021-01-09 03:19:43
189,Aswan,24.0934,32.907,59.0,36,0,6.67,EG,2021-01-09 03:19:44
